Hand Number,Game State,Hand,Pot Size,Pot Size in Big Blinds,To call,Amount to Call in Big Blinds,Call to Pot Size Rate,Decision,Raise,Bank at Time of Decision,Big Blinds Left,Fraction of Big Blinds Left,Opponent Bank,Opponent Big Blinds Left,Opponent Fraction of Big Blinds Left,Bank Advantage Rate,Hand Card 1,Hand Card 2,Board Card 1,Board Card 2,Board Card 3,Board Card 4,Board Card 5
1,Pre-flop,T8o,300,1.5,100,0.5,0.333333333,Call,0,99000,495,1,99000,495,1,1,Ts,8d,,,,,
1,Flop,T8o,400,2,0,0,0,Raise,200,99000,495,1,99000,495,1,1,Ts,8d,9c,7c,9d,,
2,Pre-flop,97o,700,3.5,300,1.5,0.428571429,Check,0,100000,500,1.01010101,99000,495,1,1.01010101,9c,7h,,,,,
2,Flop,97o,1000,5,0,0,0,Check,0,99000,495,1,99000,495,1,1,9c,7h,9h,Kd,3d,,
2,Flop,97o,1400,7,400,2,0.285714286,Call,0,99000,495,1,98000,490,0.98989899,1.010204082,9c,7h,9h,Kd,3d,,
2,Turn,97o,1800,9,0,0,0,Check,0,99000,495,1,98000,490,0.98989899,1.010204082,9c,7h,9h,Kd,3d,6s,
2,Turn,97o,4600,23,2800,14,0.608695652,Call,0,99000,495,1,96000,480,0.96969697,1.03125,9c,7h,9h,Kd,3d,6s,
2,River,97o,7400,37,0,0,0,Check,0,96000,480,0.96969697,96000,480,0.96969697,1,9c,7h,9h,Kd,3d,6s,Js
3,Pre-flop,T5o,300,1.5,100,0.5,0.333333333,Call,0,96000,480,0.96969697,103000,515,1.04040404,0.932038835,Td,5s,,,,,
3,Flop,T5o,400,2,0,0,0,Check,0,96000,480,0.96969697,103000,515,1.04040404,0.932038835,Td,5s,Js,Th,Kc,,
3,Turn,T5o,400,2,0,0,0,Raise,300,96000,480,0.96969697,103000,515,1.04040404,0.932038835,Td,5s,Js,Th,Kc,5h,
4,Pre-flop,96o,700,3.5,300,1.5,0.428571429,Call,0,96000,480,0.96969697,102000,510,1.03030303,0.941176471,9h,6d,,,,,
4,Flop,96o,1000,5,0,0,0,Check,0,96000,480,0.96969697,102000,510,1.03030303,0.941176471,9h,6d,9d,9c,2c,,
4,Flop,96o,1250,6.25,250,1.25,0.2,Call,0,96000,480,0.96969697,102000,510,1.03030303,0.941176471,9h,6d,9d,9c,2c,,
4,Turn,96o,1500,7.5,0,0,0,Check,0,95000,475,0.95959596,102000,510,1.03030303,0.931372549,9h,6d,9d,9c,2c,Qh,
4,Turn,96o,2250,11.25,750,3.75,0.333333333,Call,0,95000,475,0.95959596,102000,510,1.03030303,0.931372549,9h,6d,9d,9c,2c,Qh,
4,River,96o,3000,15,0,0,0,Check,0,95000,475,0.95959596,100000,500,1.01010101,0.95,9h,6d,9d,9c,2c,Qh,8h
4,River,96o,4500,22.5,1500,7.5,0.333333333,Raise,3000,95000,475,0.95959596,100000,500,1.01010101,0.95,9h,6d,9d,9c,2c,Qh,8h
5,Pre-flop,97o,300,1.5,100,0.5,0.333333333,Call,0,99000,495,1,100000,500,1.01010101,0.99,9d,7c,,,,,
5,Flop,97o,400,2,0,0,0,Check,0,99000,495,1,100000,500,1.01010101,0.99,9d,7c,9h,Jd,6s,,
5,Turn,97o,400,2,0,0,0,Raise,300,99000,495,1,100000,500,1.01010101,0.99,9d,7c,9h,Jd,6s,7s,
5,Turn,97o,2000,10,1000,5,0.5,Call,0,99000,495,1,98000,490,0.98989899,1.010204082,9d,7c,9h,Jd,6s,7s,
5,River,97o,5000,25,2000,10,0.4,Call,0,98000,490,0.98989899,98000,490,0.98989899,1,9d,7c,9h,Jd,6s,7s,As
6,Pre-flop,93o,700,3.5,300,1.5,0.428571429,Fold,0,103000,515,1.04040404,97000,485,0.97979798,1.06185567,9s,3c,,,,,
7,Pre-flop,76o,300,1.5,100,0.5,0.333333333,Call,0,102000,510,1.03030303,96000,480,0.96969697,1.0625,7h,6s,,,,,
7,Flop,76o,400,2,0,0,0,Raise,300,102000,510,1.03030303,96000,480,0.96969697,1.0625,7h,6s,Qs,Jc,6h,,
