Hand Number,Game State,Hand,Pot Size,Pot Size in Big Blinds,To call,Amount to Call in Big Blinds,Call to Pot Size,Decision,Raise,Bank at Time of Decision,Big Blinds Left,Fraction of Big Blinds Left,Opponent Bank,Opponent Big Blinds Left,Opponent Fraction of Big Blinds Left,Bank Advantage,Hand Card 1,Hand Card 2,Board Card 1,Board Card 2,Board Card 3,Board Card 4,Board Card 5
1,Pre-flop,A2o,1200.00,4.00,600.00,2.00,0.50,Call,0.00,99000.00,330.00,1.00,99000.00,330.00,1.00,1.00,Ad,2c,,,,,
1,Flop,A2o,1800.00,6.00,0.00,0.00,0.00,Check,0.00,99000.00,330.00,1.00,99000.00,330.00,1.00,1.00,Ad,2c,Kc,6c,Qc,,
1,Flop,A2o,2500.00,8.33,700.00,2.33,0.28,Fold,0.00,99000.00,330.00,1.00,99000.00,330.00,1.00,1.00,Ad,2c,Kc,6c,Qc,,
2,Pre-flop,T8s,450.00,1.50,150.00,0.50,0.33,Call,0.00,98000.00,326.67,0.99,100000.00,333.33,1.01,0.98,Ts,8s,,,,,
2,Flop,T8s,600.00,2.00,0.00,0.00,0.00,Check,0.00,98000.00,326.67,0.99,100000.00,333.33,1.01,0.98,Ts,8s,4c,6h,Ah,,
2,Turn,T8s,600.00,2.00,0.00,0.00,0.00,Raise,400.00,98000.00,326.67,0.99,100000.00,333.33,1.01,0.98,Ts,8s,4c,6h,Ah,Tc,
3,Pre-flop,K5o,450.00,1.50,150.00,0.50,0.33,Call,0.00,99000.00,330.00,1.00,100000.00,333.33,1.01,0.99,Ks,5c,,,,,
3,Pre-flop,K5o,1600.00,5.33,1000.00,3.33,0.63,Call,0.00,99000.00,330.00,1.00,99000.00,330.00,1.00,1.00,Ks,5c,,,,,
3,Flop,K5o,3900.00,13.00,1300.00,4.33,0.33,Call,0.00,98000.00,326.67,0.99,97000.00,323.33,0.98,1.01,Ks,5c,5h,5d,8d,,
3,Turn,K5o,5200.00,17.33,0.00,0.00,0.00,Raise,1000.00,96000.00,320.00,0.97,97000.00,323.33,0.98,0.99,Ks,5c,5h,5d,8d,Kc,
3,River,K5o,7200.00,24.00,0.00,0.00,0.00,Raise,2200.00,95000.00,316.67,0.96,96000.00,320.00,0.97,0.99,Ks,5c,5h,5d,8d,Kc,Qd
4,Pre-flop,43o,1200.00,4.00,600.00,2.00,0.50,Fold,0.00,105000.00,350.00,1.06,93000.00,310.00,0.94,1.13,4c,3h,,,,,
5,Pre-flop,85s,450.00,1.50,150.00,0.50,0.33,Call,0.00,104000.00,346.67,1.05,94000.00,313.33,0.95,1.11,8h,5h,,,,,
5,Pre-flop,85s,1600.00,5.33,1000.00,3.33,0.63,Call,0.00,104000.00,346.67,1.05,93000.00,310.00,0.94,1.12,8h,5h,,,,,
